Title,Artist,Year,Explicit,Styles,Languages,title_artist,synced
Rise Up,Andra Day,2015,0,"Pop,Soul,Gospel",English,rise up - andra day,1
Hey Jude,The Beatles,1968,0,"Rock,Pop",English,hey jude - the beatles,1
I Wanna Dance with Somebody,Whitney Houston,1987,0,"80s,Pop",English,i wanna dance with somebody - whitney houston,1
Every Breath You Take,The Police,1983,0,"Pop,Rock",English,every breath you take - the police,1
At Last,Etta James,1961,0,"Soul,Oldies,Blues",English,at last - etta james,1
Don't Stop Me Now,Queen,1978,0,"Rock,Pop",English,don't stop me now - queen,1
Bad Moon Rising,Creedence Clearwater Revival,1968,0,Rock,English,bad moon rising - creedence clearwater revival,1
Me And Bobby McGee,Janis Joplin,1971,0,"Rock,Blues,Country",English,me and bobby mcgee - janis joplin,1
Sweet Home Alabama,Lynyrd Skynyrd,1974,0,"Rock,Country",English,sweet home alabama - lynyrd skynyrd,1
Hello,Lionel Richie,1984,0,"Love,Soft rock",English,hello - lionel richie,1
California Dreamin',The Mamas and the Papas,1966,0,"Pop,Folk,Duet",English,california dreamin' - the mamas and the papas,1
Crazy Little Thing Called Love,Queen,1980,0,Rock,English,crazy little thing called love - queen,1
Angels,Robbie Williams,1997,0,"Pop,Rock",English,angels - robbie williams,1
I Want It That Way,Backstreet Boys,1999,0,Teen pop,English,i want it that way - backstreet boys,1
Wish You Were Here,Pink Floyd,1975,0,Rock,English,wish you were here - pink floyd,1
Chasing Cars,Snow Patrol,2006,0,"Pop,Rock",English,chasing cars - snow patrol,1
I Will Survive,Gloria Gaynor,1978,0,Disco,English,i will survive - gloria gaynor,1
Landslide,Fleetwood Mac,1975,0,Folk,English,landslide - fleetwood mac,1
Bad Guy,Billie Eilish,2019,0,"Pop,Alternative,Electro",English,bad guy - billie eilish,1
Say Something,A Great Big World,2013,0,"Pop,Duet",English,say something - a great big world,1
Wonderful Tonight,Eric Clapton,1977,0,Soft rock,English,wonderful tonight - eric clapton,1
Before He Cheats,Carrie Underwood,2006,0,"Country,Pop,Rock",English,before he cheats - carrie underwood,1
Angel,Sarah McLachlan,1997,0,"Soul,Pop",English,angel - sarah mclachlan,1
In The Ghetto,Elvis Presley,1969,0,"Oldies,Rock",English,in the ghetto - elvis presley,1
Achy Breaky Heart,Billy Ray Cyrus,1992,0,"Country,Rock",English,achy breaky heart - billy ray cyrus,1
I Want To Break Free,Queen,1984,0,"Pop,Rock,80s",English,i want to break free - queen,1
Dream a Little Dream of Me,The Mamas and the Papas,1968,0,Folk,English,dream a little dream of me - the mamas and the papas,1
Love Me Tender,Elvis Presley,1956,0,"Love,Oldies",English,love me tender - elvis presley,1
Margaritaville,Jimmy Buffett,1977,0,"Pop,Folk",English,margaritaville - jimmy buffett,1
Lady,Kenny Rogers,1980,0,"Love,Country",English,lady - kenny rogers,1
Total Eclipse of the Heart,Bonnie Tyler,1983,0,Soft rock,English,total eclipse of the heart - bonnie tyler,1
Man! I Feel Like A Woman!,Shania Twain,1996,0,"Country,Pop",English,man! i feel like a woman! - shania twain,1
She Used To Be Mine,Sara Bareilles,2015,0,"Pop,Soft rock,Love",English,she used to be mine - sara bareilles,1
Need You Now,Lady Antebellum,2009,0,"Country,Duet",English,need you now - lady antebellum,1
That's Life,Frank Sinatra,1966,0,Jazz,English,that's life - frank sinatra,1
Don't Know Why,Norah Jones,2001,0,"Jazz,Soul",English,don't know why - norah jones,1
We Are The Champions,Queen,1977,0,Rock,English,we are the champions - queen,1
Three Little Birds,Bob Marley,1977,0,Reggae,English,three little birds - bob marley,1
I Love Rock 'N Roll,Joan Jett,1981,0,"Rock,Punk/Grunge",English,i love rock 'n roll - joan jett,1
Proud Mary,Creedence Clearwater Revival,1969,0,"Folk,Pop",English,proud mary - creedence clearwater revival,1
The Best,Tina Turner,1989,0,"Pop,Rock",English,the best - tina turner,1
Strawberry Wine,Deana Carter,1996,0,Country,English,strawberry wine - deana carter,1
Hello,Adele,2015,0,Pop,English,hello - adele,1
Suspicious Minds,Elvis Presley,1969,0,Rock 'n Roll,English,suspicious minds - elvis presley,1
Mamma Mia,ABBA,1975,0,"Disco,Pop",English,mamma mia - abba,1
Simple Man,Lynyrd Skynyrd,1973,0,"Rock,Hard/Metal,Country",English,simple man - lynyrd skynyrd,1
Count On Me,Bruno Mars,2010,0,"Pop,Soul",English,count on me - bruno mars,1
Johnny B. Goode,Chuck Berry,1958,0,Rock 'n Roll,English,johnny b. goode - chuck berry,1
Back to Black,Amy Winehouse,2006,1,Soul,English,back to black - amy winehouse,1
Wanted Dead Or Alive,Bon Jovi,1987,0,Rock,English,wanted dead or alive - bon jovi,1
Baby Shark,Pinkfong,2015,0,"Kids,Pop",English,baby shark - pinkfong,1
Endless Love,Diana Ross,1981,0,"Pop,Duet,Love",English,endless love - diana ross,1
Thinking Out Loud,Ed Sheeran,2014,0,"Pop,Folk",English,thinking out loud - ed sheeran,1
Under the Bridge,Red Hot Chili Peppers,1991,0,"Rock,Alternative",English,under the bridge - red hot chili peppers,1
Hallelujah,Leonard Cohen,1984,0,"Pop,Folk,Soft rock",English,hallelujah - leonard cohen,1
All I Have To Do Is Dream,The Everly Brothers,1958,0,"Pop,Oldies",English,all i have to do is dream - the everly brothers,1
Let's Stay Together,Al Green,1972,0,Soul,English,let's stay together - al green,1
Rainbow,Kacey Musgraves,2018,0,Pop,English,rainbow - kacey musgraves,1
The Show Must Go On,Queen,1991,0,"Rock,Pop",English,the show must go on - queen,1
Don't Go Breaking My Heart,Elton John,1976,0,"Pop,Disco,Duet",English,don't go breaking my heart - elton john,1
Somebody To Love,Queen,1976,0,Rock,English,somebody to love - queen,1
Faithfully,Journey,1983,0,"Pop,Soft rock",English,faithfully - journey,1
L-O-V-E,Nat King Cole,1965,0,"Jazz,Oldies",English,l-o-v-e - nat king cole,1
Don't You (Forget About Me),Simple Minds,1985,0,"Pop,80s",English,don't you (forget about me) - simple minds,1
You've Got A Friend,James Taylor,1976,0,Folk,English,you've got a friend - james taylor,1
Careless Whisper,George Michael,1984,0,"Pop,Love",English,careless whisper - george michael,1
I'm Yours,Jason Mraz,2008,0,"Pop,Soft rock",English,i'm yours - jason mraz,1
Wannabe,Spice Girls,1996,0,"Teen pop,Pop",English,wannabe - spice girls,1
It's Now or Never,Elvis Presley,1961,0,"Oldies,Rock",English,it's now or never - elvis presley,1
Top of the World,The Carpenters,1973,0,"Folk,Pop",English,top of the world - the carpenters,1
Boulevard Of Broken Dreams,Green Day,2004,1,"Alternative,Soft rock",English,boulevard of broken dreams - green day,1
Ain't No Mountain High Enough,Marvin Gaye,1967,0,"Soul,Pop,Duet",English,ain't no mountain high enough - marvin gaye,1
"Oh, Pretty Woman",Roy Orbison,1964,0,"Rock 'n Roll,Pop",English,"oh, pretty woman - roy orbison",1
Superstition,Stevie Wonder,1972,0,Funk,English,superstition - stevie wonder,1
Proud Mary,Tina Turner,1971,0,"Gospel,Rock,Soul,Duet",English,proud mary - tina turner,1
Stuck in the Middle with You,Stealers Wheel,1972,0,"Rock,Folk",English,stuck in the middle with you - stealers wheel,1
Torn,Natalie Imbruglia,1997,0,"Pop,Rock",English,torn - natalie imbruglia,1
Annie's Song,John Denver,1974,0,"Soft rock,Folk",English,annie's song - john denver,1
Mack The Knife,Bobby Darin,1959,0,Jazz,English,mack the knife - bobby darin,1
We Will Rock You,Queen,1977,0,Rock,English,we will rock you - queen,1
Hallelujah,Jeff Buckley,1994,0,Folk,English,hallelujah - jeff buckley,1
Billie Jean,Michael Jackson,1982,0,"Disco,Pop",English,billie jean - michael jackson,1
Ocean Eyes,Billie Eilish,2016,0,Pop,English,ocean eyes - billie eilish,1
More Than Words,Extreme,1990,0,Soft rock,English,more than words - extreme,1
The Scientist,Coldplay,2002,0,"Alternative,Rock,Pop",English,the scientist - coldplay,1
Killing Me Softly With His Song,Roberta Flack,1973,0,"Soul,Love",English,killing me softly with his song - roberta flack,1
Amazed,Lonestar,1999,0,Country,English,amazed - lonestar,1
You Are So Beautiful,Joe Cocker,1972,0,"Love,Pop,Soft rock",English,you are so beautiful - joe cocker,1
God Bless The U.S.A.,Lee Greenwood,1979,0,"Pop,Country",English,god bless the u.s.a. - lee greenwood,1
That's Amore,Dean Martin,1953,0,"Oldies,Pop",English,that's amore - dean martin,1
When I Was Your Man,Bruno Mars,2013,0,Pop,English,when i was your man - bruno mars,1
Dancing on My Own,Calum Scott,2016,0,Pop,English,dancing on my own - calum scott,1
Hit Me With Your Best Shot,Pat Benatar,1980,0,Rock,English,hit me with your best shot - pat benatar,1
Don't Let The Sun Go Down On Me,Elton John,1974,0,"Pop,Soft rock",English,don't let the sun go down on me - elton john,1
Celebration,Kool and the Gang,1980,0,"Funk,Disco",English,celebration - kool and the gang,1
Million Reasons,Lady Gaga,2016,0,Pop,English,million reasons - lady gaga,1
Everything I Wanted,Billie Eilish,2019,0,"Pop,Electro",English,everything i wanted - billie eilish,1
Basket Case,Green Day,1994,0,"Punk/Grunge,Alternative,Rock",English,basket case - green day,1
Truth Hurts,Lizzo,2017,1,Rap,English,truth hurts - lizzo,1
When The Saints Go Marching In (Big Band Version),Traditional,1896,0,"Jazz,Oldies,Traditionnal",English,when the saints go marching in (big band version) - traditional,1
Mama Tried,Merle Haggard,1968,0,Country,English,mama tried - merle haggard,1
Easy,The Commodores,1977,0,Soul,English,easy - the commodores,1
Ironic,Alanis Morissette,1996,0,"Pop,Rock",English,ironic - alanis morissette,1
Today I Started Loving You Again,Merle Haggard,1968,0,Country,English,today i started loving you again - merle haggard,1
King Of The Road,Roger Miller,1965,0,Country,English,king of the road - roger miller,1
Blue Bayou,Linda Ronstadt,1977,0,Soft rock,English,blue bayou - linda ronstadt,1
Blue Suede Shoes,Elvis Presley,1956,0,Rock 'n Roll,English,blue suede shoes - elvis presley,1
Shape of You,Ed Sheeran,2017,0,Pop,English,shape of you - ed sheeran,1
Under Pressure,Queen,1981,0,"Rock,Pop,Duet",English,under pressure - queen,1
Blue Eyes Crying In The Rain,Willie Nelson,1975,0,Country,English,blue eyes crying in the rain - willie nelson,1
Free Fallin',Tom Petty,1989,0,"Pop,Rock",English,free fallin' - tom petty,1
Barbie Girl,Aqua,1997,0,"Dance,Teen pop,Duet",English,barbie girl - aqua,1
I Walk the Line,Johnny Cash,1957,0,Country,English,i walk the line - johnny cash,1
Yellow,Coldplay,2000,0,"Soft rock,Alternative",English,yellow - coldplay,1
The Way You Look Tonight,Frank Sinatra,1934,0,"Jazz,Traditionnal",English,the way you look tonight - frank sinatra,1
I Want To Know What Love Is,Foreigner,1984,0,"Love,Pop,Soft rock",English,i want to know what love is - foreigner,1
Fever,Peggy Lee,1958,0,"Jazz,Oldies",English,fever - peggy lee,1
Fix You,Coldplay,2005,0,"Soft rock,Alternative,Love",English,fix you - coldplay,1
Hurt,Johnny Cash,2002,0,"Folk,Country",English,hurt - johnny cash,1
I Can't Make You Love Me,Bonnie Raitt,1991,0,"Pop,Love",English,i can't make you love me - bonnie raitt,1
Titanium,David Guetta,2011,0,"Pop,Electro,Dance",English,titanium - david guetta,1
Let Your Love Flow,The Bellamy Brothers,1976,0,Country,English,let your love flow - the bellamy brothers,1
Isn't She Lovely,Stevie Wonder,1976,0,"Soul,Funk",English,isn't she lovely - stevie wonder,1
"You're The First, The Last, My Everything",Barry White,1974,0,"Soul,Pop,Love",English,"you're the first, the last, my everything - barry white",1
Believer,Imagine Dragons,2017,0,"Pop,Rock,Alternative",English,believer - imagine dragons,1
After The Lovin',Engelbert Humperdinck,1976,0,"Love,Pop",English,after the lovin' - engelbert humperdinck,1
Ice Ice Baby,Vanilla Ice,1990,0,Rap,English,ice ice baby - vanilla ice,1
Hit The Road Jack,Ray Charles,1960,0,"Blues,Rock 'n Roll,Soul",English,hit the road jack - ray charles,1
With A Little Help From My Friends,The Beatles,1967,0,"Pop,Rock",English,with a little help from my friends - the beatles,1
It's Not Unusual,Tom Jones,1965,0,"Pop,Soul,Rock,Oldies",English,it's not unusual - tom jones,1
Waterloo,ABBA,1974,0,"Disco,Pop,Rock",English,waterloo - abba,1
Stand By Your Man,Tammy Wynette,1968,0,Country,English,stand by your man - tammy wynette,1
Santeria,Sublime,1996,0,"Reggae,Rock",English,santeria - sublime,1
I'm a Believer,The Monkees,1966,0,"Pop,Rock",English,i'm a believer - the monkees,1
Father and Son,Cat Stevens,1970,0,Folk,English,father and son - cat stevens,1
I Love This Bar,Toby Keith,2003,0,Country,English,i love this bar - toby keith,1
When the Party's Over,Billie Eilish,2018,0,Pop,English,when the party's over - billie eilish,1
Old Time Rock & Roll,Bob Seger,1978,0,Rock 'n Roll,English,old time rock & roll - bob seger,1
Happy Birthday,Stevie Wonder,1980,0,"Pop,Soul",English,happy birthday - stevie wonder,1
Open Arms,Journey,1981,0,"Soft rock,Love",English,open arms - journey,1
Y.M.C.A.,Village People,1978,0,"Disco,Pop",English,y.m.c.a. - village people,1
Strangers In The Night,Frank Sinatra,1960,0,"Love,Jazz",English,strangers in the night - frank sinatra,1
Forever In Blue Jeans,Neil Diamond,1978,0,Soft rock,English,forever in blue jeans - neil diamond,1
Heroes,David Bowie,1977,0,Rock,English,heroes - david bowie,1
I Fall To Pieces,Patsy Cline,1961,0,Country,English,i fall to pieces - patsy cline,1
Ain't That A Kick In The Head,Dean Martin,1966,0,Jazz,English,ain't that a kick in the head - dean martin,1
I'd Rather Go Blind,Etta James,1969,0,"Soul,Blues",English,i'd rather go blind - etta james,1
Love Is in the Air,John Paul Young,1977,0,"Pop,Disco,Love",English,love is in the air - john paul young,1
Blueberry Hill,Fats Domino,1956,0,"Blues,Rock 'n Roll",English,blueberry hill - fats domino,1
Brandy (You're A Fine Girl),Looking Glass,1972,0,"Pop,Rock",English,brandy (you're a fine girl) - looking glass,1
All Night Long,Lionel Richie,1983,0,Pop,English,all night long - lionel richie,1
Love on the Brain,Rihanna,2016,1,"Pop,Soul",English,love on the brain - rihanna,1
Danny Boy,Traditional,1855,0,"Traditionnal,Celtic,Jazz",English,danny boy - traditional,1
Go Your Own Way,Fleetwood Mac,1976,0,Rock,English,go your own way - fleetwood mac,1
Beyond The Sea,Bobby Darin,1959,0,"Oldies,Jazz",English,beyond the sea - bobby darin,1
Lovely Day,Bill Withers,1977,0,"Pop,Soul",English,lovely day - bill withers,1
Dream Lover,Bobby Darin,1960,0,"Rock 'n Roll,Oldies",English,dream lover - bobby darin,1
Lay Down Sally,Eric Clapton,1975,0,"Folk,Rock",English,lay down sally - eric clapton,1
Every Rose Has Its Thorn,Poison,1988,0,"Rock,Hard/Metal",English,every rose has its thorn - poison,1
Twist And Shout,The Beatles,1962,0,"Rock 'n Roll,Rock,Oldies",English,twist and shout - the beatles,1
Son Of A Preacher Man,Dusty Springfield,1969,0,"Oldies,Blues",English,son of a preacher man - dusty springfield,1
Rose Garden,Lynn Anderson,1970,0,"Country,Pop",English,rose garden - lynn anderson,1
Ex's & Oh's,Elle King,2014,0,"Rock,Alternative",English,ex's & oh's - elle king,1
(I Can't Get No) Satisfaction,The Rolling Stones,1965,0,"Rock,Blues",English,(i can't get no) satisfaction - the rolling stones,1
Hello Again,Neil Diamond,1980,0,Soft rock,English,hello again - neil diamond,1
Tiny Dancer,Elton John,1971,0,Soft rock,English,tiny dancer - elton john,1
I'm Gonna Be (500 Miles),The Proclaimers,1988,0,Rock,English,i'm gonna be (500 miles) - the proclaimers,1
I Have a Dream,ABBA,1978,0,"Pop,Disco",English,i have a dream - abba,1
Bye Bye Love,The Everly Brothers,1958,0,"Pop,Rock 'n Roll",English,bye bye love - the everly brothers,1
The Final Countdown,Europe,1986,0,"Rock,Hard/Metal",English,the final countdown - europe,1
You've Got A Friend,Carole King,1971,0,Pop,English,you've got a friend - carole king,1
Walking On Sunshine,Katrina And The Waves,1983,0,"Rock,Pop",English,walking on sunshine - katrina and the waves,1
"Bad, Bad Leroy Brown",Jim Croce,1973,0,"Rock,Country",English,"bad, bad leroy brown - jim croce",1
Be My Baby,The Ronettes,1963,0,"Pop,Oldies,Soul",English,be my baby - the ronettes,1
On The Road Again,Willie Nelson,1980,0,Country,English,on the road again - willie nelson,1
(Ghost) Riders in the Sky,Johnny Cash,1979,0,Country,English,(ghost) riders in the sky - johnny cash,1
You Oughta Know,Alanis Morissette,1995,1,"Pop,Rock",English,you oughta know - alanis morissette,1
Okie From Muskogee,Merle Haggard,1968,0,Country,English,okie from muskogee - merle haggard,1
Bruises,Lewis Capaldi,2017,0,Pop,English,bruises - lewis capaldi,1
Love On The Rocks,Neil Diamond,1980,0,Soft rock,English,love on the rocks - neil diamond,1
Gravity,Sara Bareilles,2008,0,Soft rock,English,gravity - sara bareilles,1
"Red, Red Wine",UB40,1983,0,"Reggae,Pop",English,"red, red wine - ub40",1
Daydream Believer,The Monkees,1968,0,"Pop,Rock",English,daydream believer - the monkees,1
Shut Up And Dance,Walk The Moon,2014,0,"Pop,Rock,Dance",English,shut up and dance - walk the moon,1
Only You (And You Alone),The Platters,1955,0,"Oldies,Love",English,only you (and you alone) - the platters,1
Love of My Life,Queen,1975,0,Soft rock,English,love of my life - queen,1
Greatest Love of All,Whitney Houston,1986,0,"Pop,Soul",English,greatest love of all - whitney houston,1
Rehab,Amy Winehouse,2006,0,Soul,English,rehab - amy winehouse,1
Hello Darlin',Conway Twitty,1970,0,"Country,Love",English,hello darlin' - conway twitty,1
Runaround Sue,Dion,1961,0,"Rock 'n Roll,Oldies,Pop",English,runaround sue - dion,1
Mama's Broken Heart,Miranda Lambert,2011,0,Country,English,mama's broken heart - miranda lambert,1
Toes,Zac Brown Band,2009,0,Country,English,toes - zac brown band,1
Fire And Rain,James Taylor,1970,0,Folk,English,fire and rain - james taylor,1
Play That Funky Music,Wild Cherry,1976,0,Funk,English,play that funky music - wild cherry,1
All Shook Up,Elvis Presley,1957,0,"Rock 'n Roll,Oldies",English,all shook up - elvis presley,1
(You Make Me Feel Like) A Natural Woman,Aretha Franklin,1967,0,Soul,English,(you make me feel like) a natural woman - aretha franklin,1
My Church,Maren Morris,2016,0,"Country,Pop",English,my church - maren morris,1
Never Gonna Give You Up,Rick Astley,1987,0,80s,English,never gonna give you up - rick astley,1
Return To Sender,Elvis Presley,1962,0,Oldies,English,return to sender - elvis presley,1
We've Got Tonight,Kenny Rogers,1983,0,"Love,Country,Duet",English,we've got tonight - kenny rogers,1
Fight Song,Rachel Platten,2015,0,"Pop,Electro,Rock",English,fight song - rachel platten,1
In The Air Tonight,Phil Collins,1981,0,"Pop,Soft rock",English,in the air tonight - phil collins,1
Chandelier,Sia,2014,0,"Pop,R&B",English,chandelier - sia,1
Everybody Wants to Rule the World,Tears For Fears,1985,0,80s,English,everybody wants to rule the world - tears for fears,1
Can't Help Falling In Love,Haley Reinhart,2015,0,Pop,English,can't help falling in love - haley reinhart,1
Smells Like Teen Spirit,Nirvana,1991,0,"Alternative,Rock",English,smells like teen spirit - nirvana,1
True Colors,Cyndi Lauper,1986,0,Soft rock,English,true colors - cyndi lauper,1
"Quando, Quando, Quando",Engelbert Humperdinck,1968,0,"Latin,Pop,Jazz,Oldies",English,"quando, quando, quando - engelbert humperdinck",1
Fields of Gold,Sting,1993,0,"Pop,Rock",English,fields of gold - sting,1
Cocaine,Eric Clapton,1977,0,"Rock,Blues",English,cocaine - eric clapton,1
...Baby One More Time,Britney Spears,1999,0,Teen pop,English,...baby one more time - britney spears,1
She Talks To Angels,The Black Crowes,1990,0,"Rock,Blues,Folk,Alternative",English,she talks to angels - the black crowes,1
Save the Last Dance for Me,The Drifters,1960,0,"Pop,Oldies",English,save the last dance for me - the drifters,1
Delilah,Tom Jones,1967,0,"Oldies,Pop",English,delilah - tom jones,1
Beat It,Michael Jackson,1983,0,"Rock,Pop,80s",English,beat it - michael jackson,1
Copperhead Road,Steve Earle,1988,0,Country,English,copperhead road - steve earle,1
A Whiter Shade of Pale,Procol Harum,1967,0,"Rock,Love",English,a whiter shade of pale - procol harum,1
Dust in the Wind,Kansas,1977,0,Folk,English,dust in the wind - kansas,1
Greensleeves,Traditional,1584,0,"Celtic,Traditionnal",English,greensleeves - traditional,1
Goodbye Yellow Brick Road,Elton John,1973,0,"Soft rock,Pop",English,goodbye yellow brick road - elton john,1
Viva La Vida,Coldplay,2008,0,"Pop,Rock",English,viva la vida - coldplay,1
You Never Even Called Me By My Name,David Allan Coe,1975,0,"Country,Humour",English,you never even called me by my name - david allan coe,1
Take Me to Church,Hozier,2013,0,"Soul,Rock,Alternative,Blues",English,take me to church - hozier,1
In My Life,The Beatles,1965,0,Pop,English,in my life - the beatles,1
That's What Friends Are For,Dionne Warwick,1985,0,"Pop,Soul,Love,Duet",English,that's what friends are for - dionne warwick,1
"Don't Worry, Be Happy",Bobby McFerrin,1988,0,"Reggae,Jazz",English,"don't worry, be happy - bobby mcferrin",1
Bad Romance,Lady Gaga,2009,1,"Dance,Pop",English,bad romance - lady gaga,1
Sex On Fire,Kings of Leon,2008,1,"Rock,Alternative",English,sex on fire - kings of leon,1
You Know I'm No Good,Amy Winehouse,2006,0,"Rap,Soul",English,you know i'm no good - amy winehouse,1
Radio Ga Ga,Queen,1984,0,"Pop,Rock",English,radio ga ga - queen,1
Rhinestone Cowboy,Glen Campbell,1975,0,"Country,Pop",English,rhinestone cowboy - glen campbell,1
Leather And Lace,Stevie Nicks,1980,0,"Pop,Love,Folk,Duet",English,leather and lace - stevie nicks,1
Put Your Head On My Shoulder,Paul Anka,1959,0,"Pop,Love,Oldies",English,put your head on my shoulder - paul anka,1
Hold The Line,Toto,1978,0,Rock,English,hold the line - toto,1
Dancing In The Dark,Bruce Springsteen,1984,0,Rock,English,dancing in the dark - bruce springsteen,1
Photograph,Ed Sheeran,2014,0,Pop,English,photograph - ed sheeran,1
Eternal Flame,The Bangles,1989,0,"Pop,Love",English,eternal flame - the bangles,1
Vincent,Don McLean,1972,0,Folk,English,vincent - don mclean,1
Let Her Go,Passenger,2012,0,"Folk,Pop",English,let her go - passenger,1
Toxic,Britney Spears,2003,0,"Teen pop,Dance",English,toxic - britney spears,1
Shake It Off,Taylor Swift,2014,0,Pop,English,shake it off - taylor swift,1
All My Ex's Live in Texas,George Strait,1987,0,Country,English,all my ex's live in texas - george strait,1
Believe,Cher,1993,0,"Pop,Electro",English,believe - cher,1
Space Oddity,David Bowie,1969,0,"Alternative,Rock",English,space oddity - david bowie,1
Moondance,Van Morrison,1970,0,Jazz,English,moondance - van morrison,1
Jar Of Hearts,Christina Perri,2010,0,"Soft rock,Pop",English,jar of hearts - christina perri,1
Gentle On My Mind,Glen Campbell,1968,0,"Country,Folk",English,gentle on my mind - glen campbell,1
When I'm Sixty-Four,The Beatles,1967,0,Pop,English,when i'm sixty-four - the beatles,1
Love The Way You Lie,Eminem,2010,1,"Rap,Duet",English,love the way you lie - eminem,1
Great Balls Of Fire,Jerry Lee Lewis,1958,0,"Rock 'n Roll,Oldies",English,great balls of fire - jerry lee lewis,1
Call Me,Blondie,1980,0,"80s,Rock",English,call me - blondie,1
I Got You (I Feel Good),James Brown,1966,0,Funk,English,i got you (i feel good) - james brown,1
