Title,Artist,Year,Explicit,Styles,Languages,title_artist,synced
I'm Gonna Be Strong,Cyndi Lauper,1980,0,Pop,English,i'm gonna be strong - cyndi lauper,0
Rio,Duran Duran,1982,0,"80s,Rock",English,rio - duran duran,0
Rock Steady,The Whispers,1987,0,"Funk,80s",English,rock steady - the whispers,0
Heartbeat,Tahiti 80,2000,0,"Soul,Pop,Electro",English,heartbeat - tahiti 80,0
Diese nacht hat 1000 stunden,Beatrice Egli,2013,0,Schlager,German,diese nacht hat 1000 stunden - beatrice egli,0
Love Me,StooShe,2012,0,"R&B,Pop",English,love me - stooshe,0
Elegantly Wasted,INXS,1997,0,Rock,English,elegantly wasted - inxs,0
Drop The World,Lil Wayne,2009,1,Rap,English,drop the world - lil wayne,0
How Do You Do?,Mouth & MacNeal,1972,0,"Pop,Duet",English,how do you do? - mouth & macneal,0
Merry Christmas,Feuerherz,2015,0,"Christmas,Schlager,Teen pop","German,English",merry christmas - feuerherz,0
Only A Fool (Breaks His Own Heart),Mighty Sparrow & Byron Lee,1966,0,"Soul,Oldies,Pop",English,only a fool (breaks his own heart) - mighty sparrow & byron lee,0
Too Much,Spice Girls,1997,0,"Pop,Love,R&B",English,too much - spice girls,0
Sunset Boulevard,Sunset Boulevard,1992,0,Musical,English,sunset boulevard - sunset boulevard,0
Cuts Both Ways,Gloria Estefan,1989,0,Pop,English,cuts both ways - gloria estefan,0
Stillness of Heart,Lenny Kravitz,2001,0,Rock,English,stillness of heart - lenny kravitz,0
Wild Is the Wind,David Bowie,1976,0,"Pop,Rock",English,wild is the wind - david bowie,0
Windmills Of Your Mind,Sting,1999,0,"Soft rock,Pop",English,windmills of your mind - sting,0
Leave The Pieces,The Wreckers,2006,0,Country,English,leave the pieces - the wreckers,0
Dans vanavond met mij,René Schuurmans,2009,0,Schlager,Dutch,dans vanavond met mij - rené schuurmans,0
Tourniquet,Evanescence,2003,0,"Hard/Metal,Alternative,Rock",English,tourniquet - evanescence,0
I Feel So,Box Car Racer,2002,0,"Punk/Grunge,Rock",English,i feel so - box car racer,0
Que tu reviennes,Patrick Fiori,2000,0,"Love,French pop",French,que tu reviennes - patrick fiori,0
While My Guitar Gently Weeps,Santana,2010,0,"Rock,Blues,Latin",English,while my guitar gently weeps - santana,0
Jump,Paul Anka,2005,0,Jazz,English,jump - paul anka,0
Qui peut le juger ?,"Dracula, L'amour plus fort que la mort",2011,0,"Musical,French pop",French,"qui peut le juger ? - dracula, l'amour plus fort que la mort",0
Quando,Pino Daniele,1991,0,"Pop,Latin",Italian,quando - pino daniele,0
Such A Night (Bublé! NBC Special),Michael Bublé,2019,0,Jazz,English,such a night (bublé! nbc special) - michael bublé,0
Son Of A Preacher Man,Joss Stone,2006,0,Soul,English,son of a preacher man - joss stone,0
Too Much,Elvis Presley,1956,0,"Oldies,Rock",English,too much - elvis presley,0
Somebody Loves Somebody,Céline Dion,2013,0,Pop,English,somebody loves somebody - céline dion,0
Rock And Roll Girls,John Fogerty,1985,0,Rock,English,rock and roll girls - john fogerty,0
Nous nous reverrons un jour ou l'autre,Charles Aznavour,1973,0,French pop,French,nous nous reverrons un jour ou l'autre - charles aznavour,0
I've Got My Love to Keep Me Warm,Rod Stewart,2005,0,"Christmas,Jazz",English,i've got my love to keep me warm - rod stewart,0
Ik ben verliefd (sha-la-lie),Sieneke,2010,0,Schlager,Dutch,ik ben verliefd (sha-la-lie) - sieneke,0
When You Were Mine,Lady Antebellum,2011,0,Country,English,when you were mine - lady antebellum,0
I Miss You,Adele,2015,0,Pop,English,i miss you - adele,0
A Little Gasoline,Terri Clark,2000,0,Country,English,a little gasoline - terri clark,0
Wo die liebe deinen namen ruft,Nik P.,2011,0,Schlager,German,wo die liebe deinen namen ruft - nik p.,0
Nuit magique,Lara Fabian,2009,0,French pop,French,nuit magique - lara fabian,0
Christmas Island,Kristin Chenoweth,2008,0,"Christmas,Jazz",English,christmas island - kristin chenoweth,0
Summer,The Sunny Cowgirls,2010,0,Country,English,summer - the sunny cowgirls,0
Etienne,Guesch Patti,1987,0,French pop,French,etienne - guesch patti,0
Rosanne,Nick & Simon,2007,0,"Schlager,Reggae,Duet",Dutch,rosanne - nick & simon,0
Trust In Me,Etta James,1960,0,"Blues,Soul",English,trust in me - etta james,0
There's A Rainbow 'Round My Shoulder,Bobby Darin,1962,0,"Jazz,Oldies",English,there's a rainbow 'round my shoulder - bobby darin,0
Suds In The Bucket,Sara Evans,2003,0,Country,English,suds in the bucket - sara evans,0
A Cowboy And A Dancer,Tracy Byrd,2006,0,Country,English,a cowboy and a dancer - tracy byrd,0
Possédés,Geronimo,2015,0,"French pop,Electro,Dance",French,possédés - geronimo,0
Always Look On The Bright Side of Life,Spamalot,2004,1,"Musical,Humour",English,always look on the bright side of life - spamalot,0
Sexercize,Kylie Minogue,2014,0,"Pop,Electro",English,sexercize - kylie minogue,0
Una carezza in un pugno,Adriano Celentano,1968,0,"Oldies,Pop",Italian,una carezza in un pugno - adriano celentano,0
Speak To The Sky,Rick Springfield,1972,0,"Folk,Pop",English,speak to the sky - rick springfield,0
Designated Drinker,Alan Jackson,2002,0,"Country,Duet",English,designated drinker - alan jackson,0
Look Good In Leather,Cody ChesnuTT,2002,0,"Soul,R&B",English,look good in leather - cody chesnutt,0
It Had To Be You (Duet),Tony Bennett,2011,0,"Jazz,Oldies,Duet",English,it had to be you (duet) - tony bennett,0
Got 2 Luv U,Sean Paul,2011,0,"R&B,Dance",English,got 2 luv u - sean paul,0
Don't Tell Me That It's Over,Amy Macdonald,2010,0,"Rock,Pop",English,don't tell me that it's over - amy macdonald,0
Ding Dong Merrily on High,Christmas Carol,1519,0,"Christmas,Traditionnal",English,ding dong merrily on high - christmas carol,0
Wild Heart,The Vamps,2014,0,"Teen pop,Pop,Rock",English,wild heart - the vamps,0
Pulling Mussels (From The Shell),Squeeze,1980,0,"Pop,Rock",English,pulling mussels (from the shell) - squeeze,0
"Mexico, Tequila and Me",Alan Jackson,2015,0,Country,English,"mexico, tequila and me - alan jackson",0
Les yeux de la mama,Kids United,2017,0,French pop,French,les yeux de la mama - kids united,0
Church Of Your Heart,Roxette,1990,0,Pop,English,church of your heart - roxette,0
Won't Ya Come Down (To Yarmouth Town),Derek Ryan,2016,0,"Country,Celtic,Traditionnal",English,won't ya come down (to yarmouth town) - derek ryan,0
In dieser Sommernacht,Fantasy,2017,0,"Schlager,Dance",German,in dieser sommernacht - fantasy,0
Te boté (Remix),Bad Bunny,2013,0,"Rap,Pop,R&B",Spanish,te boté (remix) - bad bunny,0
Neil Diamond Medley,De Toppers,2008,0,"Pop,Rock",English,neil diamond medley - de toppers,0
Wild Horses,Garth Brooks,1990,0,Country,English,wild horses - garth brooks,0
You'll Never Know,Nat King Cole,1957,0,"Jazz,Pop,Oldies",English,you'll never know - nat king cole,0
Radioactive,Rita Ora,2013,0,"Electro,Pop",English,radioactive - rita ora,0
Gonna Make You a Star,David Essex,1974,0,"Pop,Rock",English,gonna make you a star - david essex,0
Honky Tonk Man,Dwight Yoakam,1986,0,Country,English,honky tonk man - dwight yoakam,0
On The Way Down,Ryan Cabrera,2004,0,"Rock,Pop",English,on the way down - ryan cabrera,0
The Real Thing,Lisa Stansfield,1997,0,"Pop,R&B",English,the real thing - lisa stansfield,0
Slide,Calvin Harris,2017,1,"Pop,R&B,Funk",English,slide - calvin harris,0
I Feel The Earth Move,Martika,1989,0,80s,English,i feel the earth move - martika,0
I Kissed a Girl,Postmodern Jukebox,2015,0,"Pop,Oldies,Jazz,Soul",English,i kissed a girl - postmodern jukebox,0
The Spark,Afrojack,2013,0,"Pop,Dance",English,the spark - afrojack,0
Tränen Lügen Nicht,Michael Holm,1974,0,"Schlager,Love",German,tränen lügen nicht - michael holm,0
You're My World,Tom Jones,1971,0,Pop,English,you're my world - tom jones,0
Quand Jules est au violon,Gilbert Bécaud,1963,0,French pop,French,quand jules est au violon - gilbert bécaud,0
Zuckerpuppen,Andreas Gabalier,2013,0,Schlager,"English,German",zuckerpuppen - andreas gabalier,0
I Wanna Wake Up With You,Boris Gardiner,1980,0,"Pop,Soft rock,Reggae",English,i wanna wake up with you - boris gardiner,0
La ziguezon,La Bottine Souriante,1983,0,Folk,French,la ziguezon - la bottine souriante,0
Oh Very Young,Cat Stevens,1974,0,"Pop,Folk",English,oh very young - cat stevens,0
I'm Not One Of Them,Lauren Alaina,2011,0,Country,English,i'm not one of them - lauren alaina,0
Fous ta cagoule,Fatal Bazooka,2006,0,"Humour,Rap,French pop",French,fous ta cagoule - fatal bazooka,0
Fly Over States,Jason Aldean,2012,0,Country,English,fly over states - jason aldean,0
Ten Rounds With José Cuervo,Tracy Byrd,2001,0,Country,English,ten rounds with josé cuervo - tracy byrd,0
It's Raining,Shakin' Stevens,1981,0,"Rock 'n Roll,Love",English,it's raining - shakin' stevens,0
Ride Me Down Easy,Billy Joe Shaver,1982,0,Country,English,ride me down easy - billy joe shaver,0
Shackles (Praise You),Mary Mary,1999,0,R&B,English,shackles (praise you) - mary mary,0
Alien,Britney Spears,2013,0,"Pop,Electro,Dance",English,alien - britney spears,0
El noa noa,Juan Gabriel,1980,0,"Pop,Latin",Spanish,el noa noa - juan gabriel,0
Nervous,Gavin James,2015,0,"Folk,Pop,Love",English,nervous - gavin james,0
To Be With You,The Mavericks,1998,0,"Country,Pop,Love",English,to be with you - the mavericks,0
Dream Big,Ryan Shupe & the RubberBand,2005,0,"Soft rock,Country",English,dream big - ryan shupe & the rubberband,0
Drugs Or Jesus,Tim McGraw,2004,0,Country,English,drugs or jesus - tim mcgraw,0
A Love Worth Waiting For,Shakin' Stevens,1987,0,"Rock 'n Roll,80s",English,a love worth waiting for - shakin' stevens,0
2x,Mathea,2018,0,Pop,German,2x - mathea,0
Make it Sweet,Old Dominion,2018,0,"Country,Folk",English,make it sweet - old dominion,0
What Do I Know?,Ed Sheeran,2017,0,Pop,English,what do i know? - ed sheeran,0
Little Bit Of Life,Craig Morgan,2006,0,Country,English,little bit of life - craig morgan,0
Que Dieu me pardonne,Kendji Girac,2018,0,"French pop,Duet,Latin",French,que dieu me pardonne - kendji girac,0
Americano,Lady Gaga,2011,0,"Pop,Electro,Dance","Spanish,English",americano - lady gaga,0
Ho Hey,Boyce Avenue,2015,0,Folk,English,ho hey - boyce avenue,0
Me odio (Salsa Remix),Gloria Estefan,2007,0,"Latin,Pop",Spanish,me odio (salsa remix) - gloria estefan,0
The Promise You Made,Cock Robin,1985,0,"Pop,Soft rock,Duet",English,the promise you made - cock robin,0
L'enfer,Daniel Guichard,1978,0,French pop,French,l'enfer - daniel guichard,0
Maritie et Gilbert Carpentier,Bénabar,2005,0,"French pop,Humour",French,maritie et gilbert carpentier - bénabar,0
"Va bene, va bene così",Vasco Rossi,1984,0,"Pop,Soft rock",Italian,"va bene, va bene così - vasco rossi",0
Bad,Lennon Stella,2018,0,Pop,English,bad - lennon stella,0
Where Do We Go From Here?,Vanessa Williams,1998,0,Soft rock,English,where do we go from here? - vanessa williams,0
Whenever Wherever Whatever,Maxwell,1997,0,"Soul,Love",English,whenever wherever whatever - maxwell,0
Psychedelic Shack,The Temptations,1970,0,"Funk,Soul",English,psychedelic shack - the temptations,0
Echo,Trapt,2004,0,Rock,English,echo - trapt,0
Dans les rues de Rome,Dany Brillant,2001,0,"French pop,Latin",French,dans les rues de rome - dany brillant,0
Écris l'histoire,Grégory Lemarchal,2005,0,"Soft rock,French pop",French,écris l'histoire - grégory lemarchal,0
Jamais assez loin,Isabelle Boulay,2001,0,French pop,French,jamais assez loin - isabelle boulay,0
Fly Too High,Janis Ian,1979,0,Pop,English,fly too high - janis ian,0
I Meant Every Word He Said,Ricky Van Shelton,1990,0,"Country,Love",English,i meant every word he said - ricky van shelton,0
Calling America,Electric Light Orchestra,1986,0,"Pop,Rock",English,calling america - electric light orchestra,0
Get Her Back,Robin Thicke,2014,0,R&B,English,get her back - robin thicke,0
Just A Little,Liberty X,2001,0,"R&B,Dance",English,just a little - liberty x,0
I Need To Know,Tom Petty,1978,0,"Rock,Hard/Metal",English,i need to know - tom petty,0
Cry Me a River,Julie London,1955,0,"Jazz,Love",English,cry me a river - julie london,0
Have It All,Jason Mraz,2018,0,Pop,English,have it all - jason mraz,0
Here I Am (Come and Take Me),UB40,1990,0,Reggae,English,here i am (come and take me) - ub40,0
Don't Chain My Heart,Toto,1992,0,"Rock,Pop",English,don't chain my heart - toto,0
How Do I Stop Loving You,Engelbert Humperdinck,1987,0,"Pop,Love",English,how do i stop loving you - engelbert humperdinck,0
Hundert Prozent (Live),Helene Fischer,2011,0,Schlager,German,hundert prozent (live) - helene fischer,0
Next To You,Wilson Phillips,1991,0,Pop,English,next to you - wilson phillips,0
Family Tradition,"Hank Williams, Jr.",1979,0,Country,English,"family tradition - hank williams, jr.",0
Please Come Home For Christmas,Ricky Van Shelton,1989,0,"Christmas,Blues,Country",English,please come home for christmas - ricky van shelton,0
Popular,Nada Surf,1996,0,"Rock,Alternative",English,popular - nada surf,0
La vie fait ce qu'elle veut,Julie Zenatti,2003,0,French pop,French,la vie fait ce qu'elle veut - julie zenatti,0
Here's To The Good Times,Florida Georgia Line,2012,0,Country,English,here's to the good times - florida georgia line,0
Watching The Wheels,John Lennon,1981,0,Rock,English,watching the wheels - john lennon,0
Dizzy Miss Lizzy,The Beatles,1965,0,"Rock 'n Roll,Rock",English,dizzy miss lizzy - the beatles,0
Lone Star State Of Mind,Nanci Griffith,1987,0,Country,English,lone star state of mind - nanci griffith,0
All Shook Up (Live),Elvis Presley,1972,0,Rock 'n Roll,English,all shook up (live) - elvis presley,0
Walkin' Back to Happiness,Helen Shapiro,1961,0,"Pop,Rock,Rock 'n Roll",English,walkin' back to happiness - helen shapiro,0
When You're Good To Mama,Chicago (The Musical),1975,0,"Musical,Jazz",English,when you're good to mama - chicago (the musical),0
Somewhere My Love,Jack Jones,1966,0,"Jazz,Musical",English,somewhere my love - jack jones,0
Mama,Heintje,1967,0,Schlager,Dutch,mama - heintje,0
Wenn Worte meine Sprache wären,Tim Bendzko,2011,0,Pop,German,wenn worte meine sprache wären - tim bendzko,0
Such a Night,Elvis Presley,1960,0,Rock 'n Roll,English,such a night - elvis presley,0
In The Still Of The Night (I'll Remember),Boyz II Men,1992,0,Oldies,English,in the still of the night (i'll remember) - boyz ii men,0
Hot Fun in the Summertime,Sly and the Family Stone,1969,0,Soul,English,hot fun in the summertime - sly and the family stone,0
Je t'apprendrai l'amour,Claude Barzotti,1995,0,"French pop,Love",French,je t'apprendrai l'amour - claude barzotti,0
Stay,Bonnie Bianco,1987,0,"Duet,Love",English,stay - bonnie bianco,0
Prosper,Maurice Chevalier,1935,0,"Oldies,French pop",French,prosper - maurice chevalier,0
Don't Fall in Love with a Dreamer,Kenny Rogers,1980,0,"Soft rock,Love,Duet",English,don't fall in love with a dreamer - kenny rogers,0
At My Most Beautiful,R.E.M.,1999,0,Pop,English,at my most beautiful - r.e.m.,0
Wanted Man,Johnny Cash,1994,0,Country,English,wanted man - johnny cash,0
Je reviens chez nous,Nana Mouskouri,1985,0,French pop,French,je reviens chez nous - nana mouskouri,0
A Song For You,Céline Dion,2007,0,"Pop,Love",English,a song for you - céline dion,0
Verónica,Cristian Castro,1999,0,"Love,Latin",Spanish,verónica - cristian castro,0
Sorry,Beyoncé,2016,1,"R&B,Pop",English,sorry - beyoncé,0
What The World Needs,Wynonna Judd,2003,0,Country,English,what the world needs - wynonna judd,0
Twenty Days and Twenty Nights,Elvis Presley,1970,0,Love,English,twenty days and twenty nights - elvis presley,0
Belleau Wood,Garth Brooks,1997,0,"Christmas,Country,Folk",English,belleau wood - garth brooks,0
Die gitarre und das meer,Freddy Quinn,1959,0,"Schlager,Oldies,Latin",German,die gitarre und das meer - freddy quinn,0
Tattoos On This Town,Jason Aldean,2011,0,Country,English,tattoos on this town - jason aldean,0
3 nuits par semaine,Indochine,1985,0,"French pop,Rock",French,3 nuits par semaine - indochine,0
Lost In The Night,The Great Divide,2002,0,Country,English,lost in the night - the great divide,0
"1, 2 Step",Ciara,2004,0,"Rap,R&B",English,"1, 2 step - ciara",0
I Would Stay,Krezip,2000,0,"Soft rock,Pop",English,i would stay - krezip,0
I've Got The World On A String,Michael Bublé,2006,0,"Jazz,Oldies",English,i've got the world on a string - michael bublé,0
The End of the Show,The Cats,1972,0,Pop,English,the end of the show - the cats,0
Alles kommt zurück,Roger Cicero,2011,0,"Pop,Jazz",German,alles kommt zurück - roger cicero,0
You're My Best Friend,Don Williams,1975,0,Country,English,you're my best friend - don williams,0
Drôle Mambo,"Mistinguett, Reine des années folles",2014,0,"French pop,Musical,Electro,Jazz",French,"drôle mambo - mistinguett, reine des années folles",0
See The Lights,Simple Minds,1991,0,"Pop,Rock",English,see the lights - simple minds,0
Teach Me Tonight,Al Jarreau,1981,0,"Soul,Jazz",English,teach me tonight - al jarreau,0
Je t'aime à l'italienne,Frédéric François,1985,0,"French pop,80s",French,je t'aime à l'italienne - frédéric françois,0
Bossa Nova Baby (Viva Elvis),Elvis Presley,2010,0,"Oldies,Rock",English,bossa nova baby (viva elvis) - elvis presley,0
Explique-moi,Keen'V,2010,0,French pop,French,explique-moi - keen'v,0
About You Now,Sugababes,2007,0,"Pop,Rock,Electro",English,about you now - sugababes,0
Lettre à France,Julie Zenatti,2005,0,"French pop,Gospel",French,lettre à france - julie zenatti,0
Jesus Is,Jaci Velasquez,2003,0,"Christian,Pop",English,jesus is - jaci velasquez,0
Until You Were Gone,Chipmunk,2010,0,"Pop,Rap",English,until you were gone - chipmunk,0
In My Life,Diana Krall,2015,0,"Jazz,Love,Pop",English,in my life - diana krall,0
Deja Vu (dance remix),Freemasons,2006,0,"Dance,Electro",English,deja vu (dance remix) - freemasons,0
Don't Play That Song (You Lied),Aretha Franklin,1970,0,Soul,English,don't play that song (you lied) - aretha franklin,0
Hallelujah (Acoustic),Lisa Lois,2009,0,"Pop,Soft rock",English,hallelujah (acoustic) - lisa lois,0
